2024-10-30 16:22:07,241 INFO    Thread-153:27593 [wandb_setup.py:_flush():79] Current SDK version is 0.18.5
2024-10-30 16:22:07,242 INFO    Thread-153:27593 [wandb_setup.py:_flush():79] Configure stats pid to 27593
2024-10-30 16:22:07,242 INFO    Thread-153:27593 [wandb_setup.py:_flush():79] Loading settings from /Users/serdarbahar/.config/wandb/settings
2024-10-30 16:22:07,242 INFO    Thread-153:27593 [wandb_setup.py:_flush():79] Loading settings from /Users/serdarbahar/Desktop/cnmp/inverse_task/wandb/settings
2024-10-30 16:22:07,242 INFO    Thread-153:27593 [wandb_setup.py:_flush():79] Loading settings from environment variables: {'project': 'inverse-CNMP-sweep', 'entity': 'serdarbahar-bogazi-i-niversitesi', 'root_dir': '/Users/serdarbahar/Desktop/cnmp/inverse_task', 'sweep_id': 'bxzgilcn', 'run_id': 'r2ew53b3', 'sweep_param_path': '/Users/serdarbahar/Desktop/cnmp/inverse_task/wandb/sweep-bxzgilcn/config-r2ew53b3.yaml'}
2024-10-30 16:22:07,242 INFO    Thread-153:27593 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-10-30 16:22:07,242 INFO    Thread-153:27593 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2024-10-30 16:22:07,242 INFO    Thread-153:27593 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-10-30 16:22:07,242 INFO    Thread-153:27593 [wandb_init.py:_log_setup():534] Logging user logs to /Users/serdarbahar/Desktop/cnmp/inverse_task/wandb/run-20241030_162207-r2ew53b3/logs/debug.log
2024-10-30 16:22:07,242 INFO    Thread-153:27593 [wandb_init.py:_log_setup():535] Logging internal logs to /Users/serdarbahar/Desktop/cnmp/inverse_task/wandb/run-20241030_162207-r2ew53b3/logs/debug-internal.log
2024-10-30 16:22:07,242 INFO    Thread-153:27593 [wandb_init.py:_jupyter_setup():480] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x122a0bcd0>
2024-10-30 16:22:07,243 INFO    Thread-153:27593 [wandb_init.py:init():621] calling init triggers
2024-10-30 16:22:07,243 INFO    Thread-153:27593 [wandb_init.py:init():628] wandb.init called with sweep_config: {'epochs': 388338, 'lr': 0.0003913958406276392}
config: {}
2024-10-30 16:22:07,243 INFO    Thread-153:27593 [wandb_init.py:init():671] starting backend
2024-10-30 16:22:07,243 INFO    Thread-153:27593 [wandb_init.py:init():675] sending inform_init request
2024-10-30 16:22:07,248 INFO    Thread-153:27593 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-10-30 16:22:07,248 INFO    Thread-153:27593 [wandb_init.py:init():688] backend started and connected
2024-10-30 16:22:07,257 INFO    Thread-153:27593 [wandb_run.py:_config_callback():1390] config_cb None None {'epochs': 388338, 'lr': 0.0003913958406276392}
2024-10-30 16:22:07,261 INFO    Thread-153:27593 [wandb_run.py:_label_probe_notebook():1342] probe notebook
2024-10-30 16:22:07,279 INFO    Thread-153:27593 [wandb_init.py:init():783] updated telemetry
2024-10-30 16:22:07,293 INFO    Thread-153:27593 [wandb_init.py:init():816] communicating run to backend with 90.0 second timeout
2024-10-30 16:22:07,644 INFO    Thread-153:27593 [wandb_init.py:init():867] starting run threads in backend
2024-10-30 16:22:07,711 INFO    Thread-153:27593 [wandb_run.py:_console_start():2463] atexit reg
2024-10-30 16:22:07,711 INFO    Thread-153:27593 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2024-10-30 16:22:07,711 INFO    Thread-153:27593 [wandb_run.py:_redirect():2376] Wrapping output streams.
2024-10-30 16:22:07,711 INFO    Thread-153:27593 [wandb_run.py:_redirect():2401] Redirects installed.
2024-10-30 16:22:07,711 INFO    Thread-153:27593 [wandb_init.py:init():911] run started, returning control to user process
2024-10-30 16:22:26,837 INFO    MainThread:27593 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2024-10-30 16:22:26,837 INFO    Thread-153:27593 [wandb_run.py:_finish():2158] finishing run serdarbahar-bogazi-i-niversitesi/inverse-CNMP-sweep/r2ew53b3
2024-10-30 16:22:26,837 INFO    MainThread:27593 [wandb_init.py:_pause_backend():445] pausing backend
2024-10-30 16:22:26,838 ERROR   Thread-153:27593 [jupyter.py:save_history():451] Run pip install nbformat to save notebook history
2024-10-30 16:22:26,838 INFO    Thread-153:27593 [jupyter.py:save_ipynb():387] not saving jupyter notebook
2024-10-30 16:22:26,838 INFO    Thread-153:27593 [wandb_init.py:_jupyter_teardown():462] cleaning up jupyter logic
2024-10-30 16:22:26,838 INFO    Thread-153:27593 [wandb_run.py:_atexit_cleanup():2426] got exitcode: 1
2024-10-30 16:22:26,838 INFO    Thread-153:27593 [wandb_run.py:_restore():2408] restore
2024-10-30 16:22:26,838 INFO    Thread-153:27593 [wandb_run.py:_restore():2414] restore done
2024-10-30 16:22:29,455 INFO    Thread-153:27593 [wandb_run.py:_footer_history_summary_info():3975] rendering history
2024-10-30 16:22:29,455 INFO    Thread-153:27593 [wandb_run.py:_footer_history_summary_info():4007] rendering summary
2024-10-30 16:22:29,462 INFO    Thread-153:27593 [wandb_run.py:_footer_sync_info():3934] logging synced files
